Data,Value
12/04/2019,18.014668
15/04/2019,17.908667
16/04/2019,17.716667
17/04/2019,18.316668
18/04/2019,18.082001
22/04/2019,17.933332
23/04/2019,17.343332
24/04/2019,17.59
25/04/2019,17
26/04/2019,16.433332
29/04/2019,15.724
30/04/2019,16.137333
01/05/2019,15.923333
02/05/2019,16.368
03/05/2019,16.257334
06/05/2019,16.667999
07/05/2019,17.120001
08/05/2019,16.462667
09/05/2019,16.133333
10/05/2019,15.983333
13/05/2019,15.467333
14/05/2019,15.286667
15/05/2019,15.288
16/05/2019,15.299333
17/05/2019,14.797333
20/05/2019,13.52
21/05/2019,13.184
22/05/2019,13.273333
23/05/2019,12.956
24/05/2019,13.322
28/05/2019,12.746667
29/05/2019,12.473333
30/05/2019,12.583333
31/05/2019,12.34
03/06/2019,12.367333
04/06/2019,12.073333
05/06/2019,13.245333
06/06/2019,13.629333
07/06/2019,13.666667
10/06/2019,14.016667
11/06/2019,14.609333
12/06/2019,14.863333
13/06/2019,14.025333
14/06/2019,14.083333
17/06/2019,14.365333
18/06/2019,15.248
19/06/2019,15.007333
20/06/2019,14.866667
21/06/2019,14.414667
24/06/2019,14.882667
25/06/2019,14.959333
26/06/2019,14.687333
27/06/2019,14.63
28/06/2019,14.732667
01/07/2019,15.347333
02/07/2019,15.259333
03/07/2019,15.959333
05/07/2019,15.638
08/07/2019,15.416
09/07/2019,15.264667
10/07/2019,15.61
11/07/2019,15.876
12/07/2019,15.983333
15/07/2019,16.533333
16/07/2019,16.620001
17/07/2019,17.044666
18/07/2019,17.003332
19/07/2019,17.046
22/07/2019,17.25
23/07/2019,17.114
24/07/2019,17.278
25/07/2019,15.566667
26/07/2019,15.128
29/07/2019,15.139333
30/07/2019,15.526667
31/07/2019,16.200001
01/08/2019,16.176666
02/08/2019,15.423333
05/08/2019,15.306667
06/08/2019,15.458667
07/08/2019,15.1
08/08/2019,15.63
09/08/2019,15.736667
12/08/2019,15.532667
13/08/2019,15.254
14/08/2019,15.414
15/08/2019,14.724
16/08/2019,14.444
19/08/2019,14.947333
20/08/2019,15.174667
21/08/2019,14.800667
22/08/2019,14.853333
23/08/2019,14.664667
26/08/2019,14.24
27/08/2019,14.382667
28/08/2019,14.246
29/08/2019,14.6
30/08/2019,15.276667
03/09/2019,14.938667
04/09/2019,15.126
05/09/2019,14.833333
06/09/2019,15.146667
09/09/2019,15.333333
10/09/2019,15.386667
11/09/2019,15.825333
12/09/2019,16.513332
13/09/2019,16.464001
16/09/2019,16.4
17/09/2019,16.164667
18/09/2019,16.333332
19/09/2019,16.4
20/09/2019,16.432667
23/09/2019,16
24/09/2019,16.101334
25/09/2019,14.970667
26/09/2019,15.377333
27/09/2019,16.146667
30/09/2019,16.200001
01/10/2019,16.1
02/10/2019,16.219334
03/10/2019,15.457333
04/10/2019,15.440667
07/10/2019,15.32
08/10/2019,15.724667
09/10/2019,16.087999
10/10/2019,16.351999
11/10/2019,16.476667
14/10/2019,16.526667
15/10/2019,17.18
16/10/2019,17.159332
17/10/2019,17.5
18/10/2019,17.379999
21/10/2019,17.222
22/10/2019,16.954666
23/10/2019,16.966667
24/10/2019,19.891333
25/10/2019,19.848
28/10/2019,21.836
29/10/2019,21.332666
30/10/2019,20.866667
31/10/2019,20.873333
01/11/2019,21.087999
04/11/2019,20.986668
05/11/2019,21.308001
06/11/2019,21.200001
07/11/2019,21.942667
08/11/2019,22.299999
11/11/2019,22.93
12/11/2019,23.126667
13/11/2019,23.666668
14/11/2019,23.073999
15/11/2019,23.375999
18/11/2019,23.528
19/11/2019,23.450001
20/11/2019,24
21/11/2019,23.634001
22/11/2019,22.677334
25/11/2019,22.954666
26/11/2019,22.351334
27/11/2019,22.074667
29/11/2019,22.073999
02/12/2019,21.959999
03/12/2019,22.174667
04/12/2019,22.516666
05/12/2019,22.188667
06/12/2019,22.333332
09/12/2019,22.439333
10/12/2019,22.664
11/12/2019,23.458668
12/12/2019,23.661333
13/12/2019,24.07
16/12/2019,24.17
17/12/2019,25.266001
18/12/2019,25.375334
19/12/2019,26.488001
20/12/2019,27.352667
23/12/2019,27.452
24/12/2019,27.890667
26/12/2019,28.527332
27/12/2019,29
30/12/2019,28.586
31/12/2019,27
02/01/2020,28.299999
03/01/2020,29.366667
06/01/2020,29.364668
07/01/2020,30.76
08/01/2020,31.58
09/01/2020,33.139999
10/01/2020,32.119331
13/01/2020,32.900002
14/01/2020,36.284
15/01/2020,35.317333
16/01/2020,32.916668
17/01/2020,33.840668
21/01/2020,35.349998
22/01/2020,38.125999
23/01/2020,37.616669
24/01/2020,38.042
27/01/2020,36.132668
28/01/2020,37.899334
29/01/2020,38.379333
30/01/2020,42.161331
31/01/2020,42.666668
03/02/2020,44.912666
04/02/2020,58.863998
05/02/2020,54.883999
06/02/2020,46.661331
07/02/2020,48.703335
10/02/2020,53.333332
11/02/2020,51.252666
12/02/2020,51.858002
13/02/2020,49.456001
14/02/2020,52.481335
18/02/2020,56.106667
19/02/2020,61.566666
20/02/2020,60.796665
21/02/2020,60.465332
24/02/2020,55.933334
25/02/2020,56.599998
26/02/2020,52.166668
27/02/2020,48.666668
28/02/2020,41.98
02/03/2020,47.417332
03/03/2020,53.666668
04/03/2020,50.930668
05/03/2020,48.251331
06/03/2020,46
09/03/2020,40.359333
10/03/2020,43.962002
11/03/2020,42.68
12/03/2020,38.726002
13/03/2020,39.666668
16/03/2020,31.299999
17/03/2020,29.334
18/03/2020,25.933332
19/03/2020,24.98
20/03/2020,29.213333
23/03/2020,28.906668
24/03/2020,31.82
25/03/2020,36.349998
26/03/2020,36.492668
27/03/2020,33.666668
30/03/2020,34.017334
31/03/2020,33.416668
01/04/2020,33.599998
02/04/2020,32.068668
03/04/2020,33.966667
06/04/2020,34.080002
07/04/2020,36.333332
08/04/2020,36.946667
09/04/2020,37.472668
13/04/2020,39.344002
14/04/2020,46.598
15/04/2020,49.466667
16/04/2020,47.796001
17/04/2020,51.485332
20/04/2020,48.846668
21/04/2020,48.674667
22/04/2020,46.931999
23/04/2020,48.506668
24/04/2020,47.387333
27/04/2020,49.174
28/04/2020,53.042667
29/04/2020,52.678001
30/04/2020,57.012669
01/05/2020,50.333332
04/05/2020,46.733334
05/05/2020,52.652668
06/05/2020,51.766666
07/05/2020,51.813999
08/05/2020,52.917999
11/05/2020,52.700668
12/05/2020,55.133331
13/05/2020,54.722
14/05/2020,52
15/05/2020,52.689999
18/05/2020,55.185333
19/05/2020,54.344666
20/05/2020,54.700001
21/05/2020,54.400002
22/05/2020,54.811333
26/05/2020,55.633331
27/05/2020,54.723999
28/05/2020,54.234001
29/05/2020,53.916668
01/06/2020,57.200001
02/06/2020,59.646667
03/06/2020,59.208
04/06/2020,59.325333
05/06/2020,58.522667
08/06/2020,61.266666
09/06/2020,62.667332
10/06/2020,66.125336
11/06/2020,66.013336
12/06/2020,65.333336
15/06/2020,61.186001
16/06/2020,67.456665
17/06/2020,65.847336
18/06/2020,66.866669
19/06/2020,67.518669
22/06/2020,66.66333
23/06/2020,66.592003
24/06/2020,66.274002
25/06/2020,63.618
26/06/2020,66.318665
29/06/2020,64.60067
30/06/2020,67.099998
01/07/2020,72.199997
02/07/2020,81.431999
06/07/2020,85.112663
07/07/2020,93.667336
08/07/2020,93.666664
09/07/2020,93.132668
10/07/2020,93.066666
13/07/2020,110.599998
14/07/2020,103.73333
15/07/2020,102.866669
16/07/2020,98.477333
17/07/2020,100.896667
20/07/2020,101.267334
21/07/2020,109.328667
22/07/2020,106.599998
23/07/2020,111.93
24/07/2020,94.400665
27/07/2020,95.666664
28/07/2020,100.26667
29/07/2020,100.066666
30/07/2020,99.199997
31/07/2020,101
03/08/2020,96.613335
04/08/2020,99.667336
05/08/2020,99.532669
06/08/2020,99.388664
07/08/2020,99.96933
10/08/2020,96.533333
11/08/2020,93.066666
12/08/2020,98
13/08/2020,107.400002
14/08/2020,110.999336
17/08/2020,111.800003
18/08/2020,126.599335
19/08/2020,124.333336
20/08/2020,124.045334
21/08/2020,136.317337
24/08/2020,141.751999
25/08/2020,131.659332
26/08/2020,137.333328
27/08/2020,145.363998
28/08/2020,153.007996
31/08/2020,148.203339
01/09/2020,167.380005
02/09/2020,159.66333
03/09/2020,135.743332
04/09/2020,134.270004
08/09/2020,118.666664
09/09/2020,118.866669
10/09/2020,128.736664
11/09/2020,127.313332
14/09/2020,126.98333
15/09/2020,145.520004
16/09/2020,146.623337
17/09/2020,138.53334
18/09/2020,149.313339
21/09/2020,151.043335
22/09/2020,143.199997
23/09/2020,135.053329
24/09/2020,121.26667
25/09/2020,131.156662
28/09/2020,141.539993
29/09/2020,138.666672
30/09/2020,140.440002
01/10/2020,146.919998
02/10/2020,140.463333
05/10/2020,141.116669
06/10/2020,141.263336
07/10/2020,139.956665
08/10/2020,146.146667
09/10/2020,143.376663
12/10/2020,147.333328
13/10/2020,147.78334
14/10/2020,149.926666
15/10/2020,150.103333
16/10/2020,151.479996
19/10/2020,148.746674
20/10/2020,143.916672
21/10/2020,140.899994
22/10/2020,147.306671
23/10/2020,140.613327
26/10/2020,137.210007
27/10/2020,141.253326
28/10/2020,138.82666
29/10/2020,136.653336
30/10/2020,135.633331
02/11/2020,131.333328
03/11/2020,136.57666
04/11/2020,143.539993
05/11/2020,142.766663
06/11/2020,145.366669
09/11/2020,146.5
10/11/2020,140.029999
11/11/2020,138.816666
12/11/2020,138.350006
13/11/2020,136.949997
16/11/2020,136.309998
17/11/2020,153.389999
18/11/2020,149.449997
19/11/2020,164
20/11/2020,165.996674
23/11/2020,167.833328
24/11/2020,180.133331
25/11/2020,183.353333
27/11/2020,193.720001
30/11/2020,200.736664
01/12/2020,199.196671
02/12/2020,185.479996
03/12/2020,196.67334
04/12/2020,197.003326
07/12/2020,201.639999
08/12/2020,208.503326
09/12/2020,217.896667
10/12/2020,191.456665
11/12/2020,205.003326
14/12/2020,206.333328
15/12/2020,214.426666
16/12/2020,209.410004
17/12/2020,209.396667
18/12/2020,222.96666
21/12/2020,222.080002
22/12/2020,216
23/12/2020,210.733337
24/12/2020,214.330002
28/12/2020,224.83667
29/12/2020,220.333328
30/12/2020,224
31/12/2020,233.330002
04/01/2021,239.820007
05/01/2021,241.220001
06/01/2021,252.830002
07/01/2021,259.209991
08/01/2021,285.333344
11/01/2021,283.133331
12/01/2021,277
13/01/2021,284.253326
14/01/2021,281.130005
15/01/2021,284
19/01/2021,279.266663
20/01/2021,286.246674
21/01/2021,285
22/01/2021,278.103333
25/01/2021,285
26/01/2021,297.126678
27/01/2021,290.116669
28/01/2021,273.333344
29/01/2021,276.666656
01/02/2021,271.429993
02/02/2021,281.559998
03/02/2021,292.339996
04/02/2021,285
05/02/2021,281.666656
08/02/2021,289.890015
09/02/2021,285.040009
10/02/2021,281.213318
11/02/2021,270.813324
12/02/2021,267.08667
16/02/2021,272.666656
17/02/2021,259.696655
18/02/2021,260.299988
19/02/2021,265
22/02/2021,254.213333
23/02/2021,220.710007
24/02/2021,237.28334
25/02/2021,242.050003
26/02/2021,233.333328
01/03/2021,230.036667
02/03/2021,239.426666
03/03/2021,229.330002
04/03/2021,218.600006
05/03/2021,208.686661
08/03/2021,200.183334
09/03/2021,202.726669
10/03/2021,233.433334
11/03/2021,233.133331
12/03/2021,223.333328
15/03/2021,231.363327
16/03/2021,234.449997
17/03/2021,218.956665
18/03/2021,228.096664
19/03/2021,215.53334
22/03/2021,228.196671
23/03/2021,225.256668
24/03/2021,222.636673
25/03/2021,204.333328
26/03/2021,213.956665
29/03/2021,205.213333
30/03/2021,200.583328
31/03/2021,215.539993
01/04/2021,229.456665
05/04/2021,235.903336
06/04/2021,230.100006
07/04/2021,229
08/04/2021,225.793335
09/04/2021,225.92334
12/04/2021,228.566666
13/04/2021,237.566666
14/04/2021,256.899994
15/04/2021,247.699997
16/04/2021,242.883331
19/04/2021,239.866669
20/04/2021,239.139999
21/04/2021,234.92334
22/04/2021,247.166672
23/04/2021,239.933334
26/04/2021,247
27/04/2021,239.320007
28/04/2021,232.136673
29/04/2021,233.169998
30/04/2021,222.529999
03/05/2021,234.600006
04/05/2021,226.313339
05/05/2021,227.020004
06/05/2021,226.919998
07/05/2021,221.933334
10/05/2021,221.633331
11/05/2021,199.746674
12/05/2021,200.830002
13/05/2021,200.513336
14/05/2021,194.470001
17/05/2021,191.850006
18/05/2021,189.333328
19/05/2021,184.183334
20/05/2021,191.666672
21/05/2021,198.703339
24/05/2021,193.866669
25/05/2021,202.436661
26/05/2021,202.520004
27/05/2021,206.746674
28/05/2021,209.5
01/06/2021,209.266663
02/06/2021,206.710007
03/06/2021,200.600006
04/06/2021,193.236664
07/06/2021,197.276672
08/06/2021,207.669998
09/06/2021,200.723328
10/06/2021,201.293335
11/06/2021,203.410004
14/06/2021,204.07666
15/06/2021,205.563339
16/06/2021,199.179993
17/06/2021,200.630005
18/06/2021,204.456665
21/06/2021,208.160004
22/06/2021,206.083328
23/06/2021,210.666672
24/06/2021,224.996674
25/06/2021,229.860001
28/06/2021,223.880005
29/06/2021,228.21666
30/06/2021,226.589996
01/07/2021,227.973328
02/07/2021,226.32666
06/07/2021,227.236664
07/07/2021,221.42334
08/07/2021,209.456665
09/07/2021,217.726669
12/07/2021,220.733337
13/07/2021,228.773331
14/07/2021,223.583328
15/07/2021,219.463333
16/07/2021,218.226669
19/07/2021,209.963333
20/07/2021,217.330002
21/07/2021,219.869995
22/07/2021,218.813339
23/07/2021,215.453339
26/07/2021,216.990005
27/07/2021,221.133331
28/07/2021,215.666672
29/07/2021,216.596664
30/07/2021,223.919998
02/08/2021,233.333328
03/08/2021,239.666672
04/08/2021,237
05/08/2021,238.666672
06/08/2021,237.300003
09/08/2021,236.723328
10/08/2021,237.996674
11/08/2021,237.570007
12/08/2021,235.446671
13/08/2021,241.236664
16/08/2021,235.023331
17/08/2021,224.220001
18/08/2021,223.25
19/08/2021,226.070007
20/08/2021,227.616669
23/08/2021,228.479996
24/08/2021,236.893326
25/08/2021,235.676666
26/08/2021,236.103333
27/08/2021,235
30/08/2021,238.240005
31/08/2021,244.333328
01/09/2021,244.693329
02/09/2021,244.833328
03/09/2021,244.083328
07/09/2021,246.666672
08/09/2021,253.860001
09/09/2021,251.136673
10/09/2021,253.199997
13/09/2021,246.736664
14/09/2021,247.523331
15/09/2021,248.333328
16/09/2021,250.943329
17/09/2021,252.383331
20/09/2021,244.853333
21/09/2021,244.929993
22/09/2021,247.843338
23/09/2021,251.666672
24/09/2021,248.630005
27/09/2021,257.706665
28/09/2021,262.399994
29/09/2021,259.933319
30/09/2021,260.333344
01/10/2021,259.466675
04/10/2021,265.5
05/10/2021,261.600006
06/10/2021,258.733337
07/10/2021,261.820007
08/10/2021,265.40332
11/10/2021,262.549988
12/10/2021,266.976654
13/10/2021,270.156677
14/10/2021,271.829987
15/10/2021,274.579987
18/10/2021,283.929993
19/10/2021,292.51001
20/10/2021,288.450012
21/10/2021,285.333344
22/10/2021,298.5
25/10/2021,316.843323
26/10/2021,341.563324
27/10/2021,346.553345
28/10/2021,356.103333
29/10/2021,360.619995
01/11/2021,381.666656
02/11/2021,386.453339
03/11/2021,392.443329
04/11/2021,411.470001
05/11/2021,409.333344
08/11/2021,383.263336
09/11/2021,391.200012
10/11/2021,336.803345
11/11/2021,367.589996
12/11/2021,349.166656
15/11/2021,339.209991
16/11/2021,334.436676
17/11/2021,354.503326
18/11/2021,368.850006
19/11/2021,366.290009
22/11/2021,387.443329
23/11/2021,389.170013
24/11/2021,360.130005
26/11/2021,366.48999
29/11/2021,366.996674
30/11/2021,381.456665
01/12/2021,386.899994
02/12/2021,366.353333
03/12/2021,361.59668
06/12/2021,333.83667
07/12/2021,348.066681
08/12/2021,350.90332
09/12/2021,353.546661
10/12/2021,336.25
13/12/2021,333.696655
14/12/2021,315
15/12/2021,317.736664
16/12/2021,331.5
17/12/2021,304.92334
20/12/2021,303.566681
21/12/2021,305.623322
22/12/2021,321.886658
23/12/2021,335.600006
27/12/2021,357.890015
28/12/2021,369.829987
29/12/2021,366.213318
30/12/2021,353.776672
31/12/2021,357.813324
03/01/2022,382.583344
04/01/2022,396.516663
05/01/2022,382.216675
06/01/2022,359
07/01/2022,360.123322
10/01/2022,333.333344
11/01/2022,351.223328
12/01/2022,359.616669
13/01/2022,369.690002
14/01/2022,339.959991
18/01/2022,342.203339
19/01/2022,347.236664
20/01/2022,336.57666
21/01/2022,332.113342
24/01/2022,301.58667
25/01/2022,304.733337
26/01/2022,317.476654
27/01/2022,311.119995
28/01/2022,277.186676
31/01/2022,290.90332
01/02/2022,311.736664
02/02/2022,309.393341
03/02/2022,294
04/02/2022,299.073334
07/02/2022,307.929993
08/02/2022,301.843323
09/02/2022,311.666656
10/02/2022,302.790009
11/02/2022,303.209991
14/02/2022,287.190002
15/02/2022,300
16/02/2022,304.683319
17/02/2022,304.420013
18/02/2022,295.333344
22/02/2022,278.043335
23/02/2022,276.809998
24/02/2022,233.463333
25/02/2022,269.743347
28/02/2022,271.670013
01/03/2022,289.893341
02/03/2022,290.709991
03/03/2022,292.92334
04/03/2022,283.033325
07/03/2022,285.433319
08/03/2022,265.176666
09/03/2022,279.82666
10/03/2022,283.816681
11/03/2022,280.066681
14/03/2022,260.203339
15/03/2022,258.42334
16/03/2022,269.666656
17/03/2022,276.996674
18/03/2022,291.496674
21/03/2022,304.993347
22/03/2022,310
23/03/2022,326.646667
24/03/2022,336.57666
25/03/2022,336
28/03/2022,355.033325
29/03/2022,369.329987
30/03/2022,363.723328
31/03/2022,364.856659
01/04/2022,360.383331
04/04/2022,363.126678
05/04/2022,378.766663
06/04/2022,357.823334
07/04/2022,350.796661
08/04/2022,347.736664
11/04/2022,326.799988
12/04/2022,332.546661
13/04/2022,327.026672
14/04/2022,333.09668
18/04/2022,329.676666
19/04/2022,335.019989
20/04/2022,343.333344
21/04/2022,358.243347
22/04/2022,338.303345
25/04/2022,326.323334
26/04/2022,331.809998
27/04/2022,299.526672
28/04/2022,299.993347
29/04/2022,300.75
02/05/2022,286.92334
03/05/2022,301.059998
04/05/2022,301.313324
05/05/2022,313.006653
06/05/2022,295.666656
09/05/2022,278.816681
10/05/2022,273.103333
11/05/2022,265
12/05/2022,233.666672
13/05/2022,257.82666
16/05/2022,255.720001
17/05/2022,249.119995
18/05/2022,248.17334
19/05/2022,235.666672
20/05/2022,237.996674
23/05/2022,218.339996
24/05/2022,217.843338
25/05/2022,207.949997
26/05/2022,220.473328
27/05/2022,241.083328
31/05/2022,257.946655
01/06/2022,251.720001
02/06/2022,244.156662
03/06/2022,243.226669
06/06/2022,244.353333
07/06/2022,234
08/06/2022,240.08667
09/06/2022,249.339996
10/06/2022,235.156662
13/06/2022,223.166672
14/06/2022,218.286667
15/06/2022,220.916672
16/06/2022,222.736664
17/06/2022,213.433334
21/06/2022,224.603333
22/06/2022,234.503326
23/06/2022,237.906662
24/06/2022,237.470001
27/06/2022,249.366669
28/06/2022,244.483337
29/06/2022,230.5
30/06/2022,224.509995
01/07/2022,227
05/07/2022,223
06/07/2022,230.779999
07/07/2022,233.919998
08/07/2022,242.333328
11/07/2022,252.103333
12/07/2022,236.846664
13/07/2022,225.5
14/07/2022,234.896667
15/07/2022,240
18/07/2022,244.936661
19/07/2022,245
20/07/2022,246.78334
21/07/2022,255.106674
22/07/2022,276.220001
25/07/2022,272.216675
26/07/2022,266.513336
27/07/2022,263.809998
28/07/2022,280.066681
29/07/2022,280.700012
01/08/2022,301.276672
02/08/2022,294.003326
03/08/2022,305
04/08/2022,311
05/08/2022,302.670013
08/08/2022,295
09/08/2022,290.293335
10/08/2022,297.066681
11/08/2022,296.513336
12/08/2022,289.416656
15/08/2022,301.786682
16/08/2022,311.666656
17/08/2022,303.396667
18/08/2022,306
19/08/2022,299
22/08/2022,291.91333
23/08/2022,291.453339
24/08/2022,297.563324
25/08/2022,302.359985
26/08/2022,297.429993
29/08/2022,282.829987
30/08/2022,287.869995
31/08/2022,280.619995
01/09/2022,272.579987
02/09/2022,281.070007
06/09/2022,272.679993
07/09/2022,273.100006
08/09/2022,281.299988
09/09/2022,291.670013
12/09/2022,300.720001
13/09/2022,292.899994
14/09/2022,292.23999
15/09/2022,301.829987
16/09/2022,299.609985
19/09/2022,300.089996
20/09/2022,306.910004
21/09/2022,308.290009
22/09/2022,299.859985
23/09/2022,283.089996
26/09/2022,271.829987
27/09/2022,283.839996
28/09/2022,283.079987
29/09/2022,282.76001
30/09/2022,266.149994
03/10/2022,254.5
04/10/2022,250.520004
05/10/2022,245.009995
06/10/2022,239.440002
07/10/2022,233.940002
10/10/2022,223.929993
11/10/2022,220.949997
12/10/2022,215.330002
13/10/2022,208.300003
14/10/2022,224.009995
17/10/2022,210.039993
18/10/2022,229.5
19/10/2022,219.800003
20/10/2022,208.279999
21/10/2022,206.419998
24/10/2022,205.820007
25/10/2022,210.100006
26/10/2022,219.399994
27/10/2022,229.770004
28/10/2022,225.399994
31/10/2022,226.190002
01/11/2022,234.050003
02/11/2022,226.039993
03/11/2022,211.360001
04/11/2022,222.600006
07/11/2022,208.649994
08/11/2022,194.020004
09/11/2022,190.779999
10/11/2022,189.899994
11/11/2022,186
14/11/2022,192.770004
15/11/2022,195.880005
16/11/2022,191.509995
17/11/2022,183.960007
18/11/2022,185.050003
21/11/2022,175.850006
22/11/2022,168.630005
23/11/2022,173.570007
25/11/2022,185.059998
28/11/2022,179.960007
29/11/2022,184.990005
30/11/2022,182.429993
01/12/2022,197.080002
02/12/2022,191.779999
05/12/2022,189.440002
06/12/2022,181.220001
07/12/2022,175.029999
08/12/2022,172.199997
09/12/2022,173.839996
12/12/2022,176.100006
13/12/2022,174.869995
14/12/2022,159.25
15/12/2022,153.440002
16/12/2022,159.639999
19/12/2022,154
20/12/2022,146.050003
21/12/2022,139.339996
22/12/2022,136
23/12/2022,126.370003
27/12/2022,117.5
28/12/2022,110.349998
29/12/2022,120.389999
30/12/2022,119.949997
03/01/2023,118.470001
04/01/2023,109.110001
05/01/2023,110.510002
06/01/2023,103
09/01/2023,118.959999
10/01/2023,121.07
11/01/2023,122.089996
12/01/2023,122.559998
13/01/2023,116.550003
17/01/2023,125.699997
18/01/2023,136.559998
19/01/2023,127.260002
20/01/2023,128.679993
23/01/2023,135.869995
24/01/2023,143
25/01/2023,141.910004
26/01/2023,159.970001
27/01/2023,162.429993
30/01/2023,178.050003
31/01/2023,164.570007
01/02/2023,173.889999
02/02/2023,187.330002
03/02/2023,183.949997
06/02/2023,193.009995
07/02/2023,196.429993
08/02/2023,196.100006
09/02/2023,207.779999
10/02/2023,202.229996
13/02/2023,194.419998
14/02/2023,191.940002
15/02/2023,211.759995
16/02/2023,210.779999
17/02/2023,199.990005
21/02/2023,204.990005
22/02/2023,197.929993
23/02/2023,203.910004
24/02/2023,196.330002
27/02/2023,202.029999
28/02/2023,210.589996
01/03/2023,206.210007
02/03/2023,186.740005
03/03/2023,194.800003
06/03/2023,198.539993
07/03/2023,191.380005
08/03/2023,185.039993
09/03/2023,180.25
10/03/2023,175.130005
13/03/2023,167.460007
14/03/2023,177.309998
15/03/2023,180.800003
16/03/2023,180.369995
17/03/2023,184.520004
20/03/2023,178.080002
21/03/2023,188.279999
22/03/2023,199.300003
23/03/2023,195.259995
24/03/2023,191.649994
27/03/2023,194.419998
28/03/2023,192
29/03/2023,193.130005
30/03/2023,195.580002
31/03/2023,197.529999
